date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-08-29,519.05,527.2,515.68,518.22,516.85,8317424,8317424,-0.83,-0.15991,520.0375,"August 29, 24",-0.0015991
2024-08-30,521.35,523.54,515.2,521.31,519.93,9157541,9157541,-0.04,-0.00767239,520.35,"August 30, 24",-7.67239e-05
2024-09-03,519.64,525.49,508.62,511.76,510.41,12459113,12459113,-7.88,-1.52,516.3775,"September 03, 24",-0.0152
2024-09-04,506.07,516.59,504.07,512.74,511.38,8335207,8335207,6.67,1.32,509.8675,"September 04, 24",0.0132
2024-09-05,511.72,521.63,511.15,516.86,515.49,8640900,8640900,5.14,1.0,515.34,"September 05, 24",0.01
2024-09-06,521.88,524.58,498.25,500.27,498.95,14744521,14744521,-21.61,-4.14,511.245,"September 06, 24",-0.0414
2024-09-09,506.16,511.33,502.08,504.79,503.45,11047828,11047828,-1.37,-0.27067,506.09,"September 09, 24",-0.0027067
2024-09-10,508.16,514.18,500.03,504.79,503.45,9899022,9899022,-3.37,-0.66318,506.79,"September 10, 24",-0.0066318
2024-09-11,507.01,513.12,495.6,511.83,510.48,10782532,10782532,4.82,0.95067,506.89,"September 11, 24",0.0095067
2024-09-12,517.05,526.71,515.22,525.6,524.21,11993342,11993342,8.55,1.65,521.145,"September 12, 24",0.0165
2024-09-13,520.34,527.58,517.11,524.62,523.23,10321422,10321422,4.28,0.82254,522.4125,"September 13, 24",0.0082254
2024-09-16,524.54,534.1,517.4,533.28,532.38,9527646,9527646,8.74,1.67,527.33,"September 16, 24",0.0167
2024-09-17,537.6,542.1,530.57,536.32,535.41,11690800,11690800,-1.28,-0.2381,536.6475,"September 17, 24",-0.002381
2024-09-18,537.07,544.2,533.9,537.95,537.04,10323537,10323537,0.885,0.16385,538.28,"September 18, 24",0.0016385
2024-09-19,550.0,562.07,546.52,559.1,558.15,15647000,15647000,9.1,1.65,554.4225,"September 19, 24",0.0165
2024-09-20,560.0,564.5,556.3,561.35,560.4,22066817,22066817,1.35,0.24107,560.5375,"September 20, 24",0.0024107
2024-09-23,569.5,573.98,562.41,564.41,563.45,12830700,12830700,-5.09,-0.89377,567.575,"September 23, 24",-0.0089377
2024-09-24,566.68,567.75,554.19,563.33,562.38,12993000,12993000,-3.35,-0.59116,562.9875,"September 24, 24",-0.0059116
2024-09-25,564.05,576.88,563.72,568.31,567.35,16543400,16543400,4.26,0.75525,568.24,"September 25, 24",0.0075525
2024-09-26,575.73,577.4,562.35,567.84,566.88,14400800,14400800,-7.89,-1.37,570.83,"September 26, 24",-0.0137
2024-09-27,570.1,570.84,564.51,567.36,566.4,9398400,9398400,-2.74,-0.48062,568.2025,"September 27, 24",-0.0048062
2024-09-30,567.7,574.68,564.8,572.44,571.47,12807206,12807206,4.74,0.83495,569.905,"September 30, 24",0.0083495
2024-10-01,577.98,583.04,570.1,576.47,575.49,15259300,15259300,-1.51,-0.26125,576.8975,"October 01, 24",-0.0026125
2024-10-02,574.86,576.0,569.34,572.81,571.84,6524700,6524700,-2.05,-0.35661,573.2525,"October 02, 24",-0.0035661
2024-10-03,570.15,583.36,568.73,582.77,581.78,11581000,11581000,12.62,2.21,576.2525,"October 03, 24",0.0221
2024-10-04,583.73,596.85,581.43,595.94,594.93,14199788,14199788,12.21,2.09,589.4875,"October 04, 24",0.0209
2024-10-07,598.22,602.95,584.04,584.78,583.79,12014200,12014200,-13.44,-2.25,592.4975,"October 07, 24",-0.0225
2024-10-08,589.69,593.56,585.97,592.89,591.89,7857400,7857400,3.2,0.54266,590.5275,"October 08, 24",0.0054266
2024-10-09,593.99,594.39,581.61,590.51,589.51,9529707,9529707,-3.48,-0.58587,590.125,"October 09, 24",-0.0058587
2024-10-10,587.57,590.23,582.52,583.83,582.84,7740449,7740449,-3.74,-0.63652,586.0375,"October 10, 24",-0.0063652
2024-10-11,584.83,591.21,582.71,589.95,588.95,8587100,8587100,5.12,0.87547,587.175,"October 11, 24",0.0087547
2024-10-14,594.22,600.1,589.96,590.42,589.42,8252000,8252000,-3.8,-0.63949,593.675,"October 14, 24",-0.0063949
2024-10-15,590.16,590.61,580.14,586.27,585.28,9564236,9564236,-3.89,-0.65914,586.795,"October 15, 24",-0.0065914
2024-10-16,581.4,582.08,574.03,576.79,575.81,11268400,11268400,-4.61,-0.79291,578.575,"October 16, 24",-0.0079291
2024-10-17,583.33,584.97,575.2,576.93,575.95,8701200,8701200,-6.4,-1.1,580.1075,"October 17, 24",-0.011
2024-10-18,581.1,583.97,575.25,576.47,575.49,7694300,7694300,-4.63,-0.79676,579.1975,"October 18, 24",-0.0079676
2024-10-21,576.03,577.24,569.11,575.16,574.19,8171900,8171900,-0.87,-0.15103,574.385,"October 21, 24",-0.0015103
2024-10-22,574.29,583.53,572.12,582.01,581.02,8544500,8544500,7.72,1.34,577.9875,"October 22, 24",0.0134
2024-10-23,579.97,585.0,562.5,563.69,562.74,14248419,14248419,-16.28,-2.81,572.79,"October 23, 24",-0.0281
2024-10-24,567.13,568.88,561.52,567.78,566.82,7184700,7184700,0.655,0.11461,566.3275,"October 24, 24",0.0011461
2024-10-25,573.93,581.29,571.72,573.25,572.28,11337900,11337900,-0.685,-0.11848,575.0475,"October 25, 24",-0.0011848
2024-10-28,582.0,583.75,574.12,578.16,577.18,10925131,10925131,-3.84,-0.65979,579.5075,"October 28, 24",-0.0065979
2024-10-29,580.15,593.67,575.4,593.28,592.27,13019100,13019100,13.13,2.26,585.625,"October 29, 24",0.0226
2024-10-30,600.98,601.2,589.38,591.8,590.8,26864925,26864925,-9.18,-1.53,595.84,"October 30, 24",-0.0153
2024-10-31,585.0,589.9,563.01,567.58,566.62,26838400,26838400,-17.42,-2.98,576.3725,"October 31, 24",-0.0298
2024-11-01,567.61,573.67,562.56,567.16,566.2,15303235,15303235,-0.445,-0.07927979,567.75,"November 01, 24",-0.0007927979
2024-11-04,564.1,568.69,557.89,560.68,559.73,12064601,12064601,-3.42,-0.60628,562.84,"November 04, 24",-0.0060628
2024-11-05,567.3,573.48,566.67,572.43,571.46,9775400,9775400,5.13,0.90428,569.97,"November 05, 24",0.0090428
2024-11-06,562.75,573.0,555.17,572.05,571.08,18305429,18305429,9.3,1.65,565.7425,"November 06, 24",0.0165
2024-11-07,576.89,594.8,575.21,591.7,590.7,14653708,14653708,14.81,2.57,584.65,"November 07, 24",0.0257
2024-11-08,591.54,593.1,584.52,589.34,588.34,9415700,9415700,-2.2,-0.37191,589.625,"November 08, 24",-0.0037191
2024-11-11,586.36,587.0,576.51,583.17,582.18,10209100,10209100,-3.19,-0.54403,583.26,"November 11, 24",-0.0054403
2024-11-12,588.54,599.66,580.38,584.82,583.83,16287724,16287724,-3.72,-0.63207,588.35,"November 12, 24",-0.0063207
2024-11-13,582.61,585.64,575.17,580.0,579.02,10757600,10757600,-2.61,-0.44798,580.855,"November 13, 24",-0.0044798
2024-11-14,577.0,580.76,573.01,577.16,576.18,11053743,11053743,0.16,0.02772964,576.9825,"November 14, 24",0.0002772964
2024-11-15,571.22,572.57,551.5,554.08,553.14,17712900,17712900,-17.14,-3.0,562.3425,"November 15, 24",-0.03
2024-11-18,557.04,559.9,550.09,554.4,553.46,14346715,14346715,-2.64,-0.47393,555.3575,"November 18, 24",-0.0047393
2024-11-19,551.86,561.43,550.6,561.09,560.14,9522445,9522445,9.23,1.67,556.245,"November 19, 24",0.0167
2024-11-20,562.93,566.35,554.2,565.52,564.56,9797339,9797339,2.59,0.46009,562.25,"November 20, 24",0.0046009
2024-11-21,569.52,570.0,549.05,563.09,562.14,11154749,11154749,-6.43,-1.13,562.915,"November 21, 24",-0.0113
2024-11-22,563.55,563.83,554.59,559.14,558.19,9164004,9164004,-4.41,-0.78254,560.2775,"November 22, 24",-0.0078254
2024-11-25,562.1,572.59,556.39,565.11,564.15,13599830,13599830,3.01,0.53549,564.0475,"November 25, 24",0.0053549
2024-11-26,566.0,577.5,565.2,573.54,572.57,10356600,10356600,7.54,1.33,570.56,"November 26, 24",0.0133
2024-11-27,574.89,574.98,564.1,569.2,568.24,7200228,7200228,-5.69,-0.98975,570.7925,"November 27, 24",-0.0098975
2024-11-29,569.0,578.46,566.9,574.32,573.35,7130519,7130519,5.32,0.93497,572.17,"November 29, 24",0.0093497
2024-12-02,577.5,594.5,575.57,592.83,591.83,12522400,12522400,15.33,2.65,585.1,"December 02, 24",0.0265
2024-12-03,595.0,614.2,591.25,613.65,612.61,14907200,14907200,18.65,3.13,603.525,"December 03, 24",0.0313
2024-12-04,612.96,617.78,605.1,613.78,612.74,14697006,14697006,0.82,0.13378,612.405,"December 04, 24",0.0013378
2024-12-05,617.08,619.9,607.05,608.93,607.9,8081212,8081212,-8.15,-1.32,613.24,"December 05, 24",-0.0132
2024-12-06,610.1,629.79,608.53,623.77,622.71,16935503,16935503,13.67,2.24,618.0475,"December 06, 24",0.0224
2024-12-09,623.92,626.4,606.17,613.57,612.53,11426015,11426015,-10.35,-1.66,617.515,"December 09, 24",-0.0166
2024-12-10,617.56,625.59,612.74,619.32,618.27,10938900,10938900,1.76,0.28499,618.8025,"December 10, 24",0.0028499
2024-12-11,623.37,638.4,621.53,632.68,631.61,10837228,10837228,9.31,1.49,628.995,"December 11, 24",0.0149
2024-12-12,631.5,636.66,627.21,630.79,629.72,7474717,7474717,-0.71,-0.11243,631.54,"December 12, 24",-0.0011243
2024-12-13,627.22,631.08,616.89,620.35,619.3,8453349,8453349,-6.87,-1.1,623.885,"December 13, 24",-0.011
2024-12-16,629.98,631.15,618.58,624.24,623.69,10885625,10885625,-5.74,-0.91114,625.9875,"December 16, 24",-0.0091114
2024-12-17,626.17,632.37,616.54,619.44,618.89,12897842,12897842,-6.73,-1.07,623.63,"December 17, 24",-0.0107
2024-12-18,621.0,627.36,596.32,597.19,596.66,17075500,17075500,-23.81,-3.83,610.4675,"December 18, 24",-0.0383
2024-12-19,610.39,611.52,595.0,595.57,595.04,14958100,14958100,-14.82,-2.43,603.12,"December 19, 24",-0.0243
2024-12-20,590.58,603.11,580.0,585.25,584.73,48989400,48989400,-5.33,-0.9025,589.735,"December 20, 24",-0.009025
2024-12-23,589.6,601.09,586.25,599.85,599.32,10205800,10205800,10.25,1.74,594.1975,"December 23, 24",0.0174
2024-12-24,602.72,607.99,599.28,607.75,607.21,4726100,4726100,5.03,0.83455,604.435,"December 24, 24",0.0083455
2024-12-26,605.48,606.3,598.94,603.35,602.81,6091239,6091239,-2.13,-0.35179,603.5175,"December 26, 24",-0.0035179
2024-12-27,599.41,601.85,589.8,599.81,599.28,8084229,8084229,0.4,0.06673229,597.7175,"December 27, 24",0.0006673229
2024-12-30,588.75,596.94,585.58,591.24,590.71,7025900,7025900,2.49,0.42293,590.6275,"December 30, 24",0.0042293
2024-12-31,592.27,593.97,583.85,585.51,584.99,6019520,6019520,-6.75,-1.14,588.9,"December 31, 24",-0.0114
2025-01-02,589.72,604.91,587.82,599.24,598.71,12682300,12682300,9.52,1.61,595.4225,"January 02, 25",0.0161
2025-01-03,604.76,609.5,596.41,604.63,604.09,11436800,11436800,-0.13,-0.02149613,603.825,"January 03, 25",-0.0002149613
2025-01-06,611.83,630.99,605.62,630.2,629.64,14560800,14560800,18.38,3.0,619.66,"January 06, 25",0.03
2025-01-07,631.7,632.1,608.23,617.89,617.34,12071500,12071500,-13.81,-2.19,622.48,"January 07, 25",-0.0219
2025-01-08,613.4,616.44,602.79,610.72,610.18,10085846,10085846,-2.67,-0.43691,610.8375,"January 08, 25",-0.0043691
2025-01-10,610.03,629.91,597.34,615.86,615.31,19256600,19256600,5.83,0.95569,613.285,"January 10, 25",0.0095569
2025-01-13,607.1,608.97,598.45,608.33,607.79,10785031,10785031,1.23,0.2026,605.7125,"January 13, 25",0.002026
2025-01-14,605.07,605.49,588.55,594.25,593.72,13598000,13598000,-10.82,-1.79,598.34,"January 14, 25",-0.0179
2025-01-15,610.21,622.46,606.5,617.12,616.57,15524302,15524302,6.91,1.13,614.0725,"January 15, 25",0.0113
2025-01-16,611.5,616.25,609.71,611.3,610.76,8355349,8355349,-0.2,-0.03270646,612.19,"January 16, 25",-0.0003270646
2025-01-17,624.05,624.97,603.67,612.77,612.23,17280600,17280600,-11.28,-1.81,616.365,"January 17, 25",-0.0181
2025-01-21,617.83,621.5,609.01,616.46,615.91,11674016,11674016,-1.37,-0.22174,616.2,"January 21, 25",-0.0022174
2025-01-22,623.3,633.7,619.43,623.5,622.95,12274011,12274011,0.2,0.03208728,624.9825,"January 22, 25",0.0003208728
2025-01-23,627.36,636.6,621.15,636.45,635.88,9910200,9910200,9.09,1.45,630.39,"January 23, 25",0.0145
2025-01-24,636.4,652.0,634.2,647.49,646.91,19065329,19065329,11.09,1.74,642.5225,"January 24, 25",0.0174
2025-01-27,626.61,663.87,625.1,659.88,659.29,28399200,28399200,33.27,5.31,643.865,"January 27, 25",0.0531
2025-01-28,666.0,682.58,659.47,674.33,673.73,20950107,20950107,8.33,1.25,670.595,"January 28, 25",0.0125
2025-01-29,675.0,681.05,665.67,676.49,675.89,21377820,21377820,1.49,0.22074,674.5525,"January 29, 25",0.0022074
2025-01-30,696.82,710.79,676.1,687.0,686.39,29322900,29322900,-9.82,-1.41,692.6775,"January 30, 25",-0.0141
2025-01-31,691.0,705.3,685.58,689.18,688.57,19331700,19331700,-1.82,-0.26339,692.765,"January 31, 25",-0.0026339
2025-02-03,675.91,704.0,675.25,697.46,696.84,21415739,21415739,21.55,3.19,688.155,"February 03, 25",0.0319
2025-02-04,702.5,707.71,691.61,704.19,703.56,13826300,13826300,1.69,0.24057,701.5025,"February 04, 25",0.0024057
2025-02-05,703.55,718.14,699.01,704.87,704.24,17793766,17793766,1.32,0.18762,706.3925,"February 05, 25",0.0018762
2025-02-06,705.88,718.9,703.5,711.99,711.36,13080700,13080700,6.11,0.86559,710.0675,"February 06, 25",0.0086559
2025-02-07,716.8,725.01,711.75,714.52,713.88,16427100,16427100,-2.27,-0.31808,717.02,"February 07, 25",-0.0031808
2025-02-10,718.56,721.2,711.33,717.4,716.76,12904317,12904317,-1.16,-0.16143,717.1225,"February 10, 25",-0.0016143
2025-02-11,713.32,723.66,710.04,719.8,719.16,12998000,12998000,6.48,0.90843,716.705,"February 11, 25",0.0090843
2025-02-12,715.3,727.1,712.6,725.38,724.74,12016517,12016517,10.08,1.41,720.095,"February 12, 25",0.0141
2025-02-13,721.52,729.0,718.04,728.56,727.91,12569100,12569100,7.04,0.97572,724.28,"February 13, 25",0.0097572
2025-02-14,726.14,740.91,725.62,736.67,736.02,16901249,16901249,10.53,1.45,732.335,"February 14, 25",0.0145
2025-02-18,736.0,737.0,706.44,716.37,715.73,21938703,21938703,-19.63,-2.67,723.9525,"February 18, 25",-0.0267
2025-02-19,704.1,707.0,695.39,703.77,703.14,17535500,17535500,-0.325,-0.04686834,702.565,"February 19, 25",-0.0004686834
2025-02-20,697.28,705.63,693.64,694.84,694.22,12587408,12587408,-2.43,-0.34993,697.8475,"February 20, 25",-0.0034993
2025-02-21,696.58,703.87,682.36,683.55,682.94,15660400,15660400,-13.03,-1.87,691.59,"February 21, 25",-0.0187
2025-02-24,686.28,687.27,662.45,668.13,667.54,15677000,15677000,-18.15,-2.64,676.0325,"February 24, 25",-0.0264
2025-02-25,665.97,668.0,641.86,657.5,656.92,20579700,20579700,-8.47,-1.27,658.3325,"February 25, 25",-0.0127
2025-02-26,659.65,683.01,658.0,673.7,673.1,14488705,14488705,14.05,2.13,668.59,"February 26, 25",0.0213
2025-02-27,682.45,688.65,657.57,658.24,657.65,12500013,12500013,-24.21,-3.55,671.7275,"February 27, 25",-0.0355
2025-02-28,658.04,669.63,642.6,668.2,667.61,17534200,17534200,10.16,1.54,659.6175,"February 28, 25",0.0154
2025-03-03,673.68,681.25,650.84,655.05,654.47,10843800,10843800,-18.62,-2.77,665.205,"March 03, 25",-0.0277
2025-03-04,645.51,649.75,623.65,640.0,639.43,21495208,21495208,-5.51,-0.85359,639.7275,"March 04, 25",-0.0085359
2025-03-05,641.0,659.5,637.66,656.47,655.89,13770026,13770026,15.47,2.41,648.6575,"March 05, 25",0.0241
2025-03-06,648.0,650.56,624.11,627.93,627.37,13446500,13446500,-20.07,-3.1,637.65,"March 06, 25",-0.031
2025-03-07,625.37,634.79,600.61,625.66,625.1,21375700,21375700,0.29,0.04637255,621.6075,"March 07, 25",0.0004637255
2025-03-10,608.07,610.11,586.87,597.99,597.46,21999943,21999943,-10.08,-1.66,600.76,"March 10, 25",-0.0166
2025-03-11,595.05,614.93,593.33,605.71,605.17,17401500,17401500,10.66,1.79,602.255,"March 11, 25",0.0179
2025-03-12,629.9,633.33,609.35,619.56,619.01,15747000,15747000,-10.34,-1.64,623.035,"March 12, 25",-0.0164
2025-03-13,620.25,620.5,586.51,590.64,590.11,16480324,16480324,-29.61,-4.77,604.475,"March 13, 25",-0.0477
2025-03-14,602.8,608.86,594.78,607.6,607.6,12364505,12364505,4.8,0.79628,603.51,"March 14, 25",0.0079628
2025-03-17,607.46,613.1,598.0,604.9,604.9,15473909,15473909,-2.56,-0.42143,605.865,"March 17, 25",-0.0042143
2025-03-18,600.05,600.25,574.66,582.36,582.36,20297708,20297708,-17.69,-2.95,589.33,"March 18, 25",-0.0295
2025-03-19,584.28,592.32,574.77,584.06,584.06,20537500,20537500,-0.22,-0.03765318,583.8575,"March 19, 25",-0.0003765318
2025-03-20,582.76,610.2,579.51,586.0,586.0,24336505,24336505,3.25,0.55598,589.6175,"March 20, 25",0.0055598
2025-03-21,583.42,597.54,580.95,596.25,596.25,25015900,25015900,12.83,2.2,589.54,"March 21, 25",0.022
2025-03-24,614.97,622.54,612.2,618.85,618.85,15741300,15741300,3.88,0.63093,617.14,"March 24, 25",0.0063093
2025-03-25,626.76,633.88,621.18,626.31,626.31,15312540,15312540,-0.45,-0.07179782,627.0325,"March 25, 25",-0.0007179782
2025-03-26,624.89,626.75,606.61,610.98,610.98,12661900,12661900,-13.91,-2.23,617.3075,"March 26, 25",-0.0223
2025-03-27,602.0,614.25,600.1,602.58,602.58,10436524,10436524,0.58,0.09634551,604.7325,"March 27, 25",0.0009634551
2025-03-28,600.31,601.75,573.92,576.74,576.74,17602823,17602823,-23.57,-3.93,588.18,"March 28, 25",-0.0393
2025-03-31,563.5,578.7,553.3,576.36,576.36,21124700,21124700,12.86,2.28,567.965,"March 31, 25",0.0228
2025-04-01,570.84,589.91,570.0,586.0,586.0,12727346,12727346,15.16,2.66,579.1875,"April 01, 25",0.0266
2025-04-02,574.6,592.66,573.36,591.625,591.625,7423481,7423481,17.02,2.96293,585.88,"April 02, 25",0.0296293
